                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2224,                 1.0899,                 1.4786,                0.33664,                0.54508,                0.36122,                0.20423,                 1.5549,                 3.4071,                 1.9181,              0.0011059,              0.0011059,              0.0011059
                     36,                  1.201,                 1.0649,                 1.4737,                0.67766,                0.82657,                0.80881,                0.45782,                 1.4079,                 1.0485,                  1.719,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.1753,                 1.0724,                 1.4467,                0.66951,                0.72531,                0.74736,                0.41205,                 1.4022,                 1.0989,                 1.6837,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.1854,                 1.0566,                 1.4512,                0.74767,                0.76339,                0.78794,                0.44692,                 1.4073,                  1.035,                 1.7327,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.2148,                  1.095,                 1.4849,                0.70174,                0.84719,                0.82818,                0.45192,                 1.4099,                  1.036,                 1.7384,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.2286,                 1.0647,                 1.4986,                0.74803,                0.83294,                0.84623,                0.47836,                  1.362,                 1.0392,                 1.7061,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.1707,                 1.0252,                 1.4408,                0.66791,                0.84719,                0.78226,                0.42809,                 1.3843,                  1.074,                 1.7071,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.2188,                 1.0731,                 1.4813,                0.73875,                 0.8306,                0.82594,                0.45895,                 1.3518,                0.97498,                 1.6365,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.1574,                 1.0151,                 1.4234,                0.72623,                0.85087,                0.79951,                 0.4678,                 1.3759,                 0.9826,                 1.6734,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.1726,                0.99706,                 1.4474,                0.76009,                0.84652,                 0.8542,                0.48498,                 1.3759,                0.94601,                 1.6947,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.1734,                 0.9746,                 1.4433,                0.75999,                0.82518,                0.86682,                0.50865,                 1.3092,                0.95756,                 1.6289,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.1268,                 0.9638,                 1.4092,                0.75999,                0.80704,                0.82902,                 0.4909,                 1.3564,                 0.9946,                 1.6693,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.1314,                0.96032,                 1.4099,                0.77798,                0.84595,                0.84275,                0.49338,                 1.3621,                 0.9183,                 1.6992,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.1552,                0.98284,                 1.4258,                0.78611,                0.85883,                0.87187,                  0.508,                 1.3383,                0.89376,                 1.6161,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.1219,                0.92992,                 1.3896,                0.78789,                0.80259,                0.85159,                0.47824,                 1.3353,                0.94665,                 1.6322,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.1076,                0.92491,                 1.4104,                0.74276,                 0.8994,                0.86362,                0.49485,                 1.3375,                0.93422,                 1.6244,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.1439,                0.94268,                 1.4158,                0.77144,                0.83622,                0.84078,                0.48134,                 1.3228,                0.91848,                 1.6031,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.1161,                0.89485,                 1.3911,                0.76467,                0.83106,                0.84053,                0.48131,                 1.3537,                 0.9913,                 1.6498,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.0956,                0.89769,                 1.3988,                0.75312,                0.83173,                0.81473,                0.47318,                  1.357,                0.88544,                 1.6341,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.0999,                0.91605,                 1.3858,                0.77188,                0.89995,                0.85852,                0.51514,                 1.2965,                0.90073,                 1.6249,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.0796,                0.90977,                 1.3841,                0.77632,                0.86141,                0.86075,                0.50019,                 1.3491,                0.87603,                  1.632,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.1281,                0.91547,                 1.4156,                0.75444,                0.89705,                0.88206,                0.53828,                  1.264,                0.91077,                 1.5979,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.0829,                0.86745,                 1.3696,                0.80898,                0.84073,                0.87486,                0.52168,                  1.319,                 0.9231,                 1.6415,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.0754,                0.88577,                 1.3507,                0.78768,                0.88965,                0.90057,                0.53866,                 1.3218,                0.91105,                 1.6138,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.0905,                0.89232,                 1.3854,                0.77734,                0.86817,                  0.892,                0.52505,                 1.2926,                0.88609,                 1.5881,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.0422,                  0.871,                  1.342,                 0.7663,                0.82532,                0.84546,                 0.5193,                 1.2753,                0.88854,                 1.5847,             0.00069331,             0.00069331,             0.00069331
